"generated_at","tool","model","prompt_version","asset_type","reference_set_id","reference_paths","output_path","review_status","review_notes"
"2026-09-17T07:48:33.2152016+09:00","builtin image_gen","not exposed","H1-expansion-H1-C01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gwisae_G01-G03.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/iterations/08_gwisae_r0.png","superseded","독립 QA: 정체성/화풍 통과. 후면 두 탈의 허리 좌우가 모호해 정후면으로 수정."
"2026-09-17T07:51:27.7867820+09:00","builtin image_gen","not exposed","H1-expansion-H1-C01r1","H1_shared_style_concept","H1-D072-D070","C:/Users/FORYOUCOM/.codex/generated_images/01a0ab0c-798a-7282-8f8b-e183b8b90559/exec-edcab808-aa92-49b9-a356-92a3414b518c.png","workbench/production/h1-style-expansion-2026-09-17/08_gwisae.png","visual_qa_pass","독립 QA 통과: 정후면 왼 허리 두 탈·오른손 곡단검 연결, G02 각시탈·기동형 복식 유지. 실제 메시·리깅은 미검증."
"2026-09-17T07:50:07.2662813+09:00","builtin image_gen","not exposed","H1-expansion-H1-C02","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_cheongyeon_C01-C03.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/iterations/09_cheongyeon_r0.png","superseded","독립 QA: 후면 소품 손 배치 모호, 치맛단 봉황 문양 복구 필요."
"2026-09-17T07:53:37.2616500+09:00","builtin image_gen","not exposed","H1-expansion-H1-C02r1","H1_shared_style_concept","H1-D072-D070","C:/Users/FORYOUCOM/.codex/generated_images/01a0ab0c-798a-7282-8f8b-e183b8b90559/exec-da5d1405-3344-413c-9a24-9162d5950e36.png|C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_cheongyeon_C01-C03.png","workbench/production/h1-style-expansion-2026-09-17/09_cheongyeon.png","visual_qa_pass","독립 QA 통과: 정후면 오른 부채·왼 방울, C01 봉황·상아/청록 복식·얼굴 유지. 실제 메시·리깅은 미검증."
"2026-09-17T07:55:35.9168180+09:00","builtin image_gen","not exposed","H1-expansion-H1-N02","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/10_shaman.png","visual_qa_pass","독립 QA 통과: 노년의 얼굴·낮은 쪽머리·벽돌색/청록 복식·능청 유지. 앞뒤 소품 손 위치 일치. 실제 메시·리깅 미검증."
"2026-09-17T07:57:09.0525891+09:00","builtin image_gen","not exposed","H1-expansion-H1-N03","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/11_elder.png","visual_qa_pass","직접 검수: 각진 노년 얼굴·긴 백수염·먹색 도포 유지, 정면 왼/후면 오른 지팡이 연속성·전신 프레임 통과. 실제 메시·리깅 미검증."
"2026-09-17T07:59:38.5746101+09:00","builtin image_gen","not exposed","H1-expansion-H1-F01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:/workspace/joseon-assets/sheets/approved-2026-09-17/catalog_gumiho_F01-F03.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/12_gumiho_forms.png","visual_qa_pass","독립 QA 통과: 같은 성인 얼굴·흑발·금안, 인간형 귀/꼬리 없음, 변신형 왼4+중앙1+오른4=9개 꼬리 끝 확인. 실제3D 미제작."
"2026-09-17T08:03:27.4476549+09:00","builtin image_gen","not exposed","H1-expansion-H1-BG01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/03b_sealed_chamber_club.png|C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png","workbench/production/h1-style-expansion-2026-09-17/13_dungeon_modules.png","concept_visual_qa_pass","직접 검수: 바닥·벽·코너·문틀·봉인문·기둥·계단2·화로9종 구분. 중립 목표 원화이며 정밀치수·반복 텍스처 합격을 의미하지 않음. 실제GLB 후보는 별도3d_modules."
"2026-09-17T08:04:42.3295358+09:00","builtin image_gen","not exposed","H1-expansion-H1-BG02","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/02_motgol_wide.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/14_motgol_modules_props.png","concept_visual_qa_pass","직접 검수: 목조·기와·한지·옹기·상자·사각등·평상에 H1의 무광 면 적용. 시트의 소품은 상대 확대됨. 실제GLB치수·배치 검수는 별도."
"2026-09-17T08:07:16.9962454+09:00","builtin image_gen","not exposed","H1-expansion-H1-E01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/15_bandit_input.png","input_visual_qa_pass","삼베·머리띠·회녹 피부, 2팔/2다리·사지 분리·전신 프레임 확인. 곤봉은 별도 소품. 실제3D 미검증."
"2026-09-17T08:09:03.3444251+09:00","builtin image_gen","not exposed","H1-expansion-H1-E02","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/16_bat_input.png","input_visual_qa_pass","자흑색 날개2·귀2·후지2·꼬리막, 펼친 날개 형상 확인. 날개끝 여백은 좁지만 잘림 없음. 실제3D·비행 리그 미검증."
"2026-09-17T08:10:39.5977602+09:00","builtin image_gen","not exposed","H1-expansion-H1-E03","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/17_talisman_caster_input.png","input_visual_qa_pass","현행 흰도포·창백한 가면·양손목 종이부적 유지, 던질 부적 별도. 빈손·팔/몸 간격·전신 확인. 실제3D 미검증."
"2026-09-17T08:11:51.0490319+09:00","builtin image_gen","not exposed","H1-expansion-H1-E04","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png","workbench/production/h1-style-expansion-2026-09-17/18_heukrang_input.png","input_visual_qa_pass","거대한 검은 4족 늑대·붉은 눈·꼬리1·분리된 발4 확인. 연기는 후속VFX로 분리, 입력은 불투명 털 덩어리. 실제3D·4족 리그 미검증."
"2026-09-17T08:15:05.9956164+09:00","builtin image_gen","not exposed","H1-expansion-H1-P01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/03b_sealed_chamber_club.png","workbench/production/h1-style-expansion-2026-09-17/19_weapons_props.png","concept_visual_qa_pass","직접검수: 직검/검집/나무곤봉/종이부적 분리, 칼끝·손잡이 프레임과 재질 구분. 실제 무기 원점·축·치수는 별도GLB 검사, 원화측면은 정밀도면 아님."
"2026-09-17T08:18:25.8666427+09:00","builtin image_gen","not exposed","H1-expansion-H1-K01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/08_gwisae.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/09_cheongyeon.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/03b_sealed_chamber_club.png","workbench/production/h1-style-expansion-2026-09-17/iterations/20_keyart_r0.png","superseded","인물정체성과주인공위계양호. 도호 발끝 잘림을 수정."
"2026-09-17T08:20:53.0770267+09:00","builtin image_gen","not exposed","H1-expansion-H1-CS04","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/10_shaman.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/03b_sealed_chamber_club.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/13_dungeon_modules.png","workbench/production/h1-style-expansion-2026-09-17/21_seal_wall_cutscene.png","visual_qa_pass","독립QA합격: storyline §2.4 도호+무당·푸른봉인균열·잠깐진지전환 일치. 허리검집/어깨검중복없음, 인물과석벽무광명암정합. 기존컷4이며흡수후전체8컷재번호는미정리."
"2026-09-17T08:22:26.9301321+09:00","builtin image_gen","not exposed","H1-expansion-H1-K01r1","H1_shared_style_concept","H1-D072-D070","C:/Users/FORYOUCOM/.codex/generated_images/01a0ab0c-798a-7282-8f8b-e183b8b90559/exec-c527c242-0749-429f-826b-8a1beb8d738d.png","workbench/production/h1-style-expansion-2026-09-17/20_keyart.png","visual_qa_pass","독립 원화 QA 합격: 중앙 도호가 크기·자세·검 방향으로 먼저 읽힘. G02 여분 탈 2개·C01 부채/방울·전신 프레임 유지. 캐스트 키아트이며 EA 3클래스 제공을 뜻하지 않음."
"2026-09-17T08:23:39.1685213+09:00","builtin image_gen","not exposed","H1-expansion-H1-UI01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/08_gwisae.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/09_cheongyeon.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/01_cast_comparison.png|C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/12_gumiho_forms.png","workbench/production/h1-style-expansion-2026-09-17/22_portraits.png","visual_qa_pass","독립 원화 QA 합격: PC/NPC의 얼굴·나이·표정 구분, 구미호 F01/F03 동일 인물, 선·무광 명암 정합. UI 얼굴 우선 크롭으로 갓 끝 일부 잘림. 128px 표시 검수는 별도 페이지에 기록."
"2026-09-17T08:45:36.9787639+09:00","builtin image_gen","not exposed","H1-expansion-H1-TEX01","H1_shared_style_concept","H1-D072-D070","C:\workspace\joseon-assets\workbench\production\h1-style-expansion-2026-09-17/14_motgol_modules_props.png|C:\workspace\joseon-assets\sheets\approved-2026-09-17-h1\K2_H_doho_hero_options.png","workbench/production/h1-style-expansion-2026-09-17/23_material_atlas.png","material_trial_candidate","4분면 배치와 무광 색조 확인: 좌상 목재·우상 기와·좌하 회벽·우하 한지. 기와에 얕은 명암이 남고 완전 반복 타일링은 미검증. 원본 PNG 편집 없이 실제 GLB UV 적용 시험용이며 최종 ≤1K 규격 합격을 뜻하지 않음."
